Frequency,Amplitude
 2.8609 kHz, 0.56946 V
 2.8711 kHz, 0.56929 V
 2.8711 kHz, 0.56929 V
 2.8906 kHz, 0.56694 V
 2.8906 kHz, 0.56677 V
 2.9087 kHz, 0.56375 V
 2.9101 kHz, 0.56408 V
 2.9184 kHz, 0.56123 V
 2.9297 kHz, 0.56157 V
 2.9297 kHz, 0.56157 V
 2.9492 kHz, 0.55888 V
 2.9492 kHz, 0.55871 V
 2.9685 kHz, 0.55602 V
 2.9687 kHz, 0.55636 V
 2.9766 kHz, 0.55350 V
 2.9883 kHz, 0.55350 V
 2.9883 kHz, 0.55384 V
 3.0078 kHz, 0.55115 V
 3.0078 kHz, 0.55099 V
 3.0242 kHz, 0.54880 V
 3.0273 kHz, 0.54847 V
 3.0309 kHz, 0.54830 V
 3.0468 kHz, 0.54595 V
 3.0469 kHz, 0.54612 V
 3.0664 kHz, 0.54326 V
 3.0664 kHz, 0.54360 V
 3.0833 kHz, 0.54091 V
 3.0859 kHz, 0.54125 V
 3.0934 kHz, 0.53973 V
 3.1055 kHz, 0.53822 V
 3.1055 kHz, 0.53856 V
 3.1250 kHz, 0.53621 V
 3.1250 kHz, 0.53621 V
 3.1445 kHz, 0.53386 V
 3.1445 kHz, 0.53369 V
 3.1641 kHz, 0.53134 V
 3.1641 kHz, 0.53117 V
 3.1836 kHz, 0.52882 V
 3.1836 kHz, 0.52899 V
 3.2027 kHz, 0.52664 V
 3.2031 kHz, 0.52630 V
 3.2115 kHz, 0.52664 V
 3.2227 kHz, 0.52412 V
 3.2226 kHz, 0.52428 V
 3.2422 kHz, 0.52193 V
 3.2422 kHz, 0.52193 V
 3.2594 kHz, 0.51941 V
 3.2617 kHz, 0.51958 V
 3.2689 kHz, 0.51958 V
 3.2812 kHz, 0.51706 V
 3.2813 kHz, 0.51723 V
 3.3008 kHz, 0.51522 V
 3.3008 kHz, 0.51505 V
 3.3203 kHz, 0.51270 V
 3.3203 kHz, 0.51253 V
 3.3388 kHz, 0.51035 V
 3.3398 kHz, 0.51051 V
 3.3486 kHz, 0.50783 V
 3.3594 kHz, 0.50800 V
 3.3594 kHz, 0.50816 V
 3.3789 kHz, 0.50598 V
 3.3789 kHz, 0.50598 V
 3.3982 kHz, 0.50380 V
 3.3984 kHz, 0.50346 V
 3.4054 kHz, 0.50145 V
 3.4180 kHz, 0.50145 V
 3.4180 kHz, 0.50145 V
 3.4375 kHz, 499.43 mV
 3.4375 kHz, 499.43 mV
 3.4505 kHz, 497.25 mV
 3.4570 kHz, 496.91 mV
 3.4574 kHz, 497.25 mV
 3.4765 kHz, 495.23 mV
 3.4766 kHz, 495.06 mV
 3.4961 kHz, 492.88 mV
 3.4961 kHz, 493.05 mV
 3.5077 kHz, 490.87 mV
 3.5156 kHz, 490.87 mV
 3.5156 kHz, 490.87 mV
 3.5352 kHz, 488.68 mV
 3.5352 kHz, 488.68 mV
 3.5547 kHz, 486.84 mV
 3.5547 kHz, 486.67 mV
 3.5647 kHz, 484.48 mV
 3.5742 kHz, 484.65 mV
 3.5742 kHz, 484.65 mV
 3.5938 kHz, 482.64 mV
 3.5937 kHz, 482.64 mV
 3.6103 kHz, 480.62 mV
 3.6133 kHz, 480.62 mV
 3.6200 kHz, 478.61 mV
 3.6328 kHz, 478.44 mV
 3.6329 kHz, 478.44 mV
 3.6524 kHz, 476.59 mV
 3.6523 kHz, 476.26 mV
 3.6719 kHz, 474.58 mV
 3.6719 kHz, 474.41 mV
 3.6819 kHz, 472.73 mV
 3.6914 kHz, 472.56 mV
 3.6914 kHz, 472.39 mV
 3.7109 kHz, 470.71 mV
 3.7109 kHz, 470.71 mV
 3.7305 kHz, 468.70 mV
 3.7305 kHz, 468.53 mV
 3.7406 kHz, 466.35 mV
 3.7500 kHz, 466.68 mV
 3.7500 kHz, 466.35 mV
 3.7695 kHz, 464.67 mV
 3.7695 kHz, 464.84 mV
 3.7867 kHz, 462.99 mV
 3.7891 kHz, 462.32 mV
 3.7952 kHz, 462.82 mV
 3.8086 kHz, 461.14 mV
 3.8086 kHz, 460.81 mV
 3.8281 kHz, 459.13 mV
 3.8281 kHz, 459.13 mV
 3.8453 kHz, 457.45 mV
 3.8477 kHz, 457.11 mV
 3.8513 kHz, 457.28 mV
 3.8672 kHz, 455.43 mV
 3.8672 kHz, 455.43 mV
 3.8867 kHz, 453.75 mV
 3.8867 kHz, 453.59 mV
 3.8981 kHz, 451.57 mV
 3.9063 kHz, 451.74 mV
 3.9063 kHz, 451.57 mV
 3.9258 kHz, 449.89 mV
 3.9258 kHz, 450.06 mV
 3.9453 kHz, 448.38 mV
 3.9453 kHz, 448.21 mV
 3.9557 kHz, 446.53 mV
 3.9648 kHz, 446.20 mV
 3.9648 kHz, 446.36 mV
 3.9844 kHz, 444.68 mV
 3.9844 kHz, 444.68 mV
 4.0025 kHz, 442.84 mV
 4.0039 kHz, 442.84 mV
 4.0099 kHz, 442.84 mV
 4.0234 kHz, 441.16 mV
 4.0234 kHz, 441.33 mV
 4.0430 kHz, 439.48 mV
 4.0429 kHz, 439.31 mV
 4.0551 kHz, 437.46 mV
 4.0625 kHz, 437.80 mV
 4.0660 kHz, 437.63 mV
 4.0820 kHz, 435.78 mV
 4.0820 kHz, 435.95 mV
 4.1015 kHz, 434.27 mV
 4.1016 kHz, 433.94 mV
 4.1149 kHz, 432.59 mV
 4.1211 kHz, 432.59 mV
 4.1217 kHz, 432.26 mV
 4.1406 kHz, 430.75 mV
 4.1406 kHz, 430.75 mV
 4.1602 kHz, 429.07 mV
 4.1601 kHz, 429.07 mV
 4.1701 kHz, 427.72 mV
 4.1797 kHz, 427.39 mV
 4.1797 kHz, 427.39 mV
 4.1992 kHz, 425.88 mV
 4.1992 kHz, 425.88 mV
 4.2188 kHz, 424.20 mV
 4.2188 kHz, 424.03 mV
 4.2302 kHz, 422.52 mV
 4.2383 kHz, 422.69 mV
 4.2383 kHz, 422.52 mV
 4.2578 kHz, 420.84 mV
 4.2578 kHz, 421.17 mV
 4.2767 kHz, 419.16 mV
 4.2773 kHz, 419.33 mV
 4.2855 kHz, 417.98 mV
 4.2968 kHz, 417.82 mV
 4.2969 kHz, 417.82 mV
 4.3164 kHz, 416.30 mV
 4.3164 kHz, 416.14 mV
 4.3342 kHz, 414.46 mV
 4.3359 kHz, 414.62 mV
 4.3431 kHz, 413.95 mV
 4.3554 kHz, 412.95 mV
 4.3555 kHz, 412.95 mV
 4.3750 kHz, 411.77 mV
 4.3750 kHz, 411.60 mV
 4.3931 kHz, 409.92 mV
 4.3945 kHz, 409.92 mV
 4.4001 kHz, 409.75 mV
 4.4140 kHz, 408.41 mV
 4.4141 kHz, 408.58 mV
 4.4336 kHz, 406.90 mV
 4.4336 kHz, 407.07 mV
 4.4476 kHz, 405.39 mV
 4.4531 kHz, 405.56 mV
 4.4603 kHz, 404.72 mV
 4.4727 kHz, 404.05 mV
 4.4726 kHz, 403.71 mV
 4.4921 kHz, 402.53 mV
 4.4922 kHz, 402.37 mV
 4.5069 kHz, 401.02 mV
 4.5117 kHz, 400.85 mV
 4.5148 kHz, 401.02 mV
 4.5312 kHz, 399.51 mV
 4.5313 kHz, 399.68 mV
 4.5508 kHz, 398.17 mV
 4.5508 kHz, 398.17 mV
 4.5643 kHz, 396.49 mV
 4.5703 kHz, 396.66 mV
 4.5741 kHz, 396.66 mV
 4.5899 kHz, 395.14 mV
 4.5898 kHz, 394.98 mV
 4.6094 kHz, 393.80 mV
 4.6094 kHz, 393.97 mV
 4.6289 kHz, 392.29 mV
 4.6288 kHz, 392.46 mV
 4.6370 kHz, 390.78 mV
 4.6484 kHz, 391.11 mV
 4.6484 kHz, 390.78 mV
 4.6680 kHz, 389.27 mV
 4.6680 kHz, 389.77 mV
 4.6855 kHz, 388.09 mV
 4.6875 kHz, 387.59 mV
 4.6948 kHz, 387.76 mV
 4.7070 kHz, 386.75 mV
 4.7070 kHz, 386.92 mV
 4.7266 kHz, 385.40 mV
 4.7266 kHz, 385.40 mV
 4.7431 kHz, 384.06 mV
 4.7461 kHz, 384.06 mV
 4.7520 kHz, 384.06 mV
 4.7656 kHz, 382.89 mV
 4.7656 kHz, 382.72 mV
 4.7852 kHz, 381.37 mV
 4.7852 kHz, 381.37 mV
 4.8047 kHz, 380.03 mV
 4.8047 kHz, 380.03 mV
 4.8150 kHz, 378.52 mV
 4.8242 kHz, 378.52 mV
 4.8242 kHz, 378.69 mV
 4.8437 kHz, 377.51 mV
 4.8437 kHz, 377.51 mV
 4.8599 kHz, 376.17 mV
 4.8633 kHz, 376.00 mV
 4.8697 kHz, 375.50 mV
 4.8828 kHz, 374.99 mV
 4.8828 kHz, 374.82 mV
 4.9024 kHz, 373.48 mV
 4.9026 kHz, 373.15 mV
 4.9219 kHz, 372.31 mV
 4.9219 kHz, 372.14 mV
 4.9414 kHz, 370.79 mV
 4.9414 kHz, 370.79 mV
 4.9535 kHz, 369.28 mV
 4.9609 kHz, 369.79 mV
 4.9658 kHz, 368.95 mV
 4.9804 kHz, 368.44 mV
 4.9805 kHz, 368.28 mV
 5.0000 kHz, 367.10 mV
 5.0000 kHz, 367.27 mV
 5.0000 kHz, 367.10 mV
 5.0192 kHz, 365.59 mV
 5.0192 kHz, 365.76 mV
 5.0387 kHz, 364.75 mV
 5.0387 kHz, 364.41 mV
 5.0538 kHz, 363.24 mV
 5.0583 kHz, 363.41 mV
 5.0630 kHz, 363.41 mV
 5.0778 kHz, 362.23 mV
 5.0778 kHz, 362.23 mV
 5.0973 kHz, 360.89 mV
 5.0974 kHz, 361.05 mV
 5.1169 kHz, 359.88 mV
 5.1169 kHz, 359.71 mV
 5.1297 kHz, 358.70 mV
 5.1364 kHz, 358.70 mV
 5.1371 kHz, 358.54 mV
 5.1559 kHz, 357.36 mV
 5.1559 kHz, 357.53 mV
 5.1755 kHz, 356.35 mV
 5.1755 kHz, 356.35 mV
 5.1848 kHz, 355.01 mV
 5.1950 kHz, 354.84 mV
 5.1963 kHz, 355.01 mV
 5.2146 kHz, 353.83 mV
 5.2145 kHz, 353.83 mV
 5.2341 kHz, 352.83 mV
 5.2341 kHz, 352.66 mV
 5.2435 kHz, 351.48 mV
 5.2536 kHz, 351.48 mV
 5.2536 kHz, 351.65 mV
 5.2731 kHz, 350.64 mV
 5.2731 kHz, 350.47 mV
 5.2925 kHz, 349.30 mV
 5.2927 kHz, 348.96 mV
 5.3005 kHz, 347.96 mV
 5.3122 kHz, 348.29 mV
 5.3122 kHz, 348.12 mV
 5.3317 kHz, 346.95 mV
 5.3317 kHz, 347.12 mV
 5.3513 kHz, 345.60 mV
 5.3513 kHz, 345.77 mV
 5.3627 kHz, 344.76 mV
 5.3709 kHz, 344.60 mV
 5.3732 kHz, 344.60 mV
 5.3903 kHz, 343.59 mV
 5.3903 kHz, 343.59 mV
 5.4099 kHz, 342.75 mV
 5.4098 kHz, 342.58 mV
 5.4263 kHz, 341.57 mV
 5.4294 kHz, 341.57 mV
 5.4466 kHz, 340.40 mV
 5.4489 kHz, 340.23 mV
 5.4564 kHz, 339.22 mV
 5.4685 kHz, 339.22 mV
 5.4685 kHz, 339.22 mV
 5.4880 kHz, 338.22 mV
 5.4880 kHz, 338.38 mV
 5.5052 kHz, 337.04 mV
 5.5076 kHz, 337.38 mV
 5.5120 kHz, 336.87 mV
 5.5270 kHz, 336.20 mV
 5.5270 kHz, 336.20 mV
 5.5466 kHz, 335.02 mV
 5.5466 kHz, 334.86 mV
 5.5604 kHz, 333.85 mV
 5.5661 kHz, 334.19 mV
 5.5681 kHz, 333.85 mV
 5.5857 kHz, 333.01 mV
 5.5856 kHz, 332.84 mV
 5.6052 kHz, 331.67 mV
 5.6051 kHz, 331.83 mV
 5.6177 kHz, 330.83 mV
 5.6246 kHz, 330.49 mV
 5.6288 kHz, 330.83 mV
 5.6442 kHz, 329.65 mV
 5.6442 kHz, 329.48 mV
 5.6637 kHz, 328.64 mV
 5.6637 kHz, 328.81 mV
 5.6786 kHz, 327.80 mV
 5.6832 kHz, 327.80 mV
 5.6860 kHz, 327.64 mV
 5.7028 kHz, 326.80 mV
 5.7028 kHz, 326.80 mV
 5.7224 kHz, 325.96 mV
 5.7223 kHz, 325.62 mV
 5.7365 kHz, 324.78 mV
 5.7419 kHz, 324.45 mV
 5.7460 kHz, 324.78 mV
 5.7614 kHz, 323.61 mV
 5.7614 kHz, 323.77 mV
 5.7809 kHz, 322.93 mV
 5.7809 kHz, 322.93 mV
 5.7937 kHz, 321.93 mV
 5.8004 kHz, 321.93 mV
 5.8031 kHz, 321.59 mV
 5.8200 kHz, 321.09 mV
 5.8201 kHz, 320.92 mV
 5.8396 kHz, 320.08 mV
 5.8396 kHz, 319.74 mV
 5.8567 kHz, 318.90 mV
 5.8591 kHz, 318.74 mV
 5.8668 kHz, 318.40 mV
 5.8786 kHz, 317.73 mV
 5.8786 kHz, 317.90 mV
 5.8982 kHz, 317.22 mV
 5.8981 kHz, 317.22 mV
 5.9160 kHz, 316.05 mV
 5.9177 kHz, 316.22 mV
 5.9230 kHz, 315.88 mV
 5.9372 kHz, 315.04 mV
 5.9372 kHz, 315.38 mV
 5.9567 kHz, 314.03 mV
 5.9567 kHz, 314.20 mV
 5.9721 kHz, 313.36 mV
 5.9763 kHz, 313.19 mV
 5.9771 kHz, 313.19 mV
 5.9958 kHz, 312.35 mV
 5.9958 kHz, 312.52 mV
 6.0153 kHz, 311.68 mV
 6.0153 kHz, 311.35 mV
 6.0236 kHz, 311.01 mV
 6.0349 kHz, 310.51 mV
 6.0349 kHz, 310.51 mV
 6.0544 kHz, 309.50 mV
 6.0543 kHz, 309.67 mV
 6.0739 kHz, 308.83 mV
 6.0739 kHz, 308.66 mV
 6.0811 kHz, 308.16 mV
 6.0935 kHz, 307.82 mV
 6.0934 kHz, 307.82 mV
 6.1130 kHz, 306.64 mV
 6.1129 kHz, 306.81 mV
 6.1294 kHz, 306.14 mV
 6.1325 kHz, 306.14 mV
 6.1461 kHz, 305.13 mV
 6.1520 kHz, 304.96 mV
 6.1575 kHz, 304.80 mV
 6.1715 kHz, 304.29 mV
 6.1716 kHz, 304.29 mV
 6.1911 kHz, 303.45 mV
 6.1911 kHz, 303.45 mV
 6.2088 kHz, 302.61 mV
 6.2106 kHz, 302.61 mV
 6.2176 kHz, 301.77 mV
 6.2301 kHz, 301.44 mV
 6.2302 kHz, 301.61 mV
 6.2497 kHz, 300.77 mV
 6.2497 kHz, 300.77 mV
 6.2692 kHz, 300.09 mV
 6.2692 kHz, 299.93 mV
 6.2773 kHz, 299.76 mV
 6.2888 kHz, 298.92 mV
 6.2888 kHz, 299.26 mV
 6.3083 kHz, 298.25 mV
 6.3083 kHz, 298.25 mV
 6.3266 kHz, 297.24 mV
 6.3278 kHz, 297.24 mV
 6.3377 kHz, 297.07 mV
 6.3474 kHz, 296.57 mV
 6.3520 kHz, 296.23 mV
 6.3669 kHz, 295.73 mV
 6.3669 kHz, 295.73 mV
 6.3864 kHz, 295.06 mV
 6.3864 kHz, 294.89 mV
 6.4013 kHz, 294.22 mV
 6.4059 kHz, 293.88 mV
 6.4114 kHz, 294.05 mV
 6.4255 kHz, 293.38 mV
 6.4255 kHz, 293.04 mV
 6.4450 kHz, 292.54 mV
 6.4451 kHz, 292.54 mV
 6.4646 kHz, 291.70 mV
 6.4645 kHz, 291.70 mV
 6.4730 kHz, 291.19 mV
 6.4840 kHz, 290.86 mV
 6.4840 kHz, 290.86 mV
 6.5036 kHz, 289.85 mV
 6.5036 kHz, 290.02 mV
 6.5206 kHz, 289.18 mV
 6.5231 kHz, 289.35 mV
 6.5322 kHz, 288.51 mV
 6.5427 kHz, 288.51 mV
 6.5426 kHz, 288.34 mV
 6.5622 kHz, 287.67 mV
 6.5622 kHz, 287.67 mV
 6.5817 kHz, 287.00 mV
 6.5817 kHz, 286.66 mV
 6.5959 kHz, 286.32 mV
 6.6013 kHz, 286.16 mV
 6.6017 kHz, 285.82 mV
 6.6208 kHz, 285.32 mV
 6.6208 kHz, 285.32 mV
 6.6403 kHz, 284.65 mV
 6.6404 kHz, 284.48 mV
 6.6599 kHz, 283.81 mV
 6.6599 kHz, 283.81 mV
 6.6794 kHz, 282.97 mV
 6.6794 kHz, 282.97 mV
 6.6968 kHz, 282.46 mV
 6.6989 kHz, 282.13 mV
 6.7043 kHz, 282.13 mV
 6.7184 kHz, 281.62 mV
 6.7184 kHz, 281.79 mV
 6.7380 kHz, 280.78 mV
 6.7380 kHz, 280.28 mV
 6.7560 kHz, 279.94 mV
 6.7575 kHz, 280.11 mV
 6.7642 kHz, 280.11 mV
 6.7770 kHz, 279.27 mV
 6.7770 kHz, 279.27 mV
 6.7965 kHz, 278.43 mV
 6.7965 kHz, 278.60 mV
 6.8161 kHz, 277.93 mV
 6.8161 kHz, 277.42 mV
 6.8270 kHz, 277.26 mV
 6.8357 kHz, 277.09 mV
 6.8390 kHz, 277.09 mV
 6.8551 kHz, 276.42 mV
 6.8552 kHz, 276.25 mV
 6.8747 kHz, 275.41 mV
 6.8747 kHz, 275.58 mV
 6.8870 kHz, 274.91 mV
 6.8942 kHz, 274.91 mV
 6.8942 kHz, 274.91 mV
 6.9138 kHz, 274.23 mV
 6.9138 kHz, 274.40 mV
 6.9333 kHz, 273.56 mV
 6.9333 kHz, 273.56 mV
 6.9428 kHz, 272.89 mV
 6.9528 kHz, 272.89 mV
 6.9531 kHz, 272.89 mV
 6.9724 kHz, 272.05 mV
 6.9724 kHz, 272.05 mV
 6.9919 kHz, 271.21 mV
 6.9919 kHz, 271.38 mV
 7.0003 kHz, 270.54 mV
 7.0114 kHz, 270.71 mV
 7.0114 kHz, 270.71 mV
 7.0309 kHz, 270.04 mV
 7.0309 kHz, 269.87 mV
 7.0468 kHz, 269.20 mV
 7.0505 kHz, 269.36 mV
 7.0579 kHz, 268.86 mV
 7.0700 kHz, 268.52 mV
 7.0700 kHz, 268.69 mV
 7.0895 kHz, 267.85 mV
 7.0896 kHz, 268.02 mV
 7.1091 kHz, 267.01 mV
 7.1091 kHz, 267.35 mV
 7.1249 kHz, 266.68 mV
 7.1286 kHz, 266.51 mV
 7.1335 kHz, 266.34 mV
 7.1481 kHz, 265.84 mV
 7.1481 kHz, 265.67 mV
 7.1678 kHz, 265.17 mV
 7.1677 kHz, 265.17 mV
 7.1872 kHz, 264.49 mV
 7.1872 kHz, 264.66 mV
 7.1991 kHz, 263.82 mV
 7.2067 kHz, 263.82 mV
 7.2263 kHz, 263.15 mV
 7.2263 kHz, 263.15 mV
 7.2381 kHz, 262.31 mV
 7.2458 kHz, 262.31 mV
 7.2475 kHz, 262.48 mV
 7.2653 kHz, 261.97 mV
 7.2654 kHz, 261.64 mV
 7.2848 kHz, 261.13 mV
 7.2849 kHz, 261.13 mV
 7.3031 kHz, 260.63 mV
 7.3043 kHz, 260.63 mV
 7.3127 kHz, 259.96 mV
 7.3239 kHz, 259.96 mV
 7.3253 kHz, 259.79 mV
 7.3434 kHz, 259.12 mV
 7.3434 kHz, 259.12 mV
 7.3630 kHz, 258.62 mV
 7.3629 kHz, 258.62 mV
 7.3771 kHz, 257.94 mV
 7.3825 kHz, 257.94 mV
 7.3886 kHz, 257.78 mV
 7.4020 kHz, 257.44 mV
 7.4167 kHz, 256.60 mV
 7.4216 kHz, 256.60 mV
 7.4260 kHz, 256.60 mV
 7.4411 kHz, 256.10 mV
 7.4412 kHz, 255.76 mV
 7.4606 kHz, 255.26 mV
 7.4607 kHz, 255.42 mV
 7.4802 kHz, 254.75 mV
 7.4802 kHz, 254.75 mV
 7.4948 kHz, 254.08 mV
 7.4997 kHz, 254.25 mV
 7.5025 kHz, 254.25 mV
 7.5192 kHz, 253.41 mV
 7.5193 kHz, 253.58 mV
 7.5388 kHz, 253.07 mV
 7.5387 kHz, 252.74 mV
 7.5500 kHz, 252.57 mV
 7.5583 kHz, 252.40 mV
 7.5593 kHz, 252.23 mV
 7.5779 kHz, 251.73 mV
 7.5778 kHz, 251.73 mV
 7.5973 kHz, 251.06 mV
 7.5973 kHz, 251.06 mV
 7.6130 kHz, 250.55 mV
 7.6169 kHz, 250.39 mV
 7.6230 kHz, 250.22 mV
